[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 0.00%, 16.55MiB / 3.871GiB, 0.42%, 2.91kB / 182B, 58.5MB / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 11.19%, 1.468GiB / 3.871GiB, 37.91%, 11.7MB / 285kB, 5.53GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 11.19%, 1.468GiB / 3.871GiB, 37.91%, 11.7MB / 285kB, 5.53GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 11.19%, 1.468GiB / 3.871GiB, 37.91%, 11.7MB / 285kB, 5.53GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 57.49%, 1.649GiB / 3.871GiB, 42.60%, 11.7MB / 285kB, 5.69GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 57.49%, 1.649GiB / 3.871GiB, 42.60%, 11.7MB / 285kB, 5.69GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 57.49%, 1.649GiB / 3.871GiB, 42.60%, 11.7MB / 285kB, 5.69GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 57.49%, 1.649GiB / 3.871GiB, 42.60%, 11.7MB / 285kB, 5.69GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 31.34%, 1.444GiB / 3.871GiB, 37.30%, 11.7MB / 287kB, 6.85GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 31.34%, 1.444GiB / 3.871GiB, 37.30%, 11.7MB / 287kB, 6.85GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 31.34%, 1.444GiB / 3.871GiB, 37.30%, 11.7MB / 287kB, 6.85GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 31.34%, 1.444GiB / 3.871GiB, 37.30%, 11.7MB / 287kB, 6.85GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 67.40%, 1.709GiB / 3.871GiB, 44.14%, 11.7MB / 287kB, 7.1GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 67.40%, 1.709GiB / 3.871GiB, 44.14%, 11.7MB / 287kB, 7.1GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 67.40%, 1.709GiB / 3.871GiB, 44.14%, 11.7MB / 287kB, 7.1GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 67.40%, 1.709GiB / 3.871GiB, 44.14%, 11.7MB / 287kB, 7.1GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, --, -- / --, --, --, --
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, --, -- / --, --, --, --
