[2J[HOK,8,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 0.02%, 11MiB / 3.871GiB, 0.28%, 108MB / 77.6MB, 0B / 0B
OK,8,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.03%, 4.125MiB / 50MiB, 8.25%, 136kB / 224kB, 0B / 0B
OK,8,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.10%, 10.45MiB / 50MiB, 20.90%, 5.64kB / 2.6kB, 2.74MB / 0B
OK,8,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.01%, 27.16MiB / 500MiB, 5.43%, 1.78MB / 314kB, 27.8MB / 0B
OK,8,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.13%, 5.875MiB / 125MiB, 4.70%, 447kB / 254kB, 160kB / 0B
OK,8,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.28kB / 0B, 4.1kB / 0B
OK,8,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 108.77%, 12.46MiB / 3.871GiB, 0.31%, 80.5MB / 114MB, 4.66MB / 0B
[2J[HOK,8,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 17.05%, 11.02MiB / 3.871GiB, 0.28%, 115MB / 82.6MB, 0B / 0B
OK,8,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.03%, 4.125MiB / 50MiB, 8.25%, 136kB / 224kB, 0B / 0B
OK,8,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.10%, 10.45MiB / 50MiB, 20.90%, 5.64kB / 2.6kB, 2.74MB / 0B
OK,8,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 27.16MiB / 500MiB, 5.43%, 1.78MB / 314kB, 27.8MB / 0B
OK,8,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.13%, 5.875MiB / 125MiB, 4.70%, 447kB / 254kB, 160kB / 0B
OK,8,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.28kB / 0B, 4.1kB / 0B
OK,8,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 108.77%, 12.46MiB / 3.871GiB, 0.31%, 80.5MB / 114MB, 4.66MB / 0B
[2J[HOK,8,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 14.67%, 11.02MiB / 3.871GiB, 0.28%, 115MB / 82.6MB, 0B / 0B
OK,8,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.125MiB / 50MiB, 8.25%, 136kB / 224kB, 0B / 0B
OK,8,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.17%, 10.45MiB / 50MiB, 20.90%, 5.64kB / 2.6kB, 2.74MB / 0B
OK,8,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 27.16MiB / 500MiB, 5.43%, 1.78MB / 314kB, 27.8MB / 0B
OK,8,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.07%, 5.875MiB / 125MiB, 4.70%, 447kB / 254kB, 160kB / 0B
OK,8,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.28kB / 0B, 4.1kB / 0B
OK,8,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 104.61%, 12.46MiB / 3.871GiB, 0.31%, 80.5MB / 114MB, 4.66MB / 0B
[2J[HOK,8,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 14.67%, 11.02MiB / 3.871GiB, 0.28%, 115MB / 82.6MB, 0B / 0B
OK,8,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.125MiB / 50MiB, 8.25%, 136kB / 224kB, 0B / 0B
OK,8,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.17%, 10.45MiB / 50MiB, 20.90%, 5.64kB / 2.6kB, 2.74MB / 0B
OK,8,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 27.16MiB / 500MiB, 5.43%, 1.78MB / 314kB, 27.8MB / 0B
OK,8,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.07%, 5.875MiB / 125MiB, 4.70%, 447kB / 254kB, 160kB / 0B
OK,8,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.28kB / 0B, 4.1kB / 0B
OK,8,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 104.61%, 12.46MiB / 3.871GiB, 0.31%, 80.5MB / 114MB, 4.66MB / 0B
[2J[HOK,8,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 16.92%, 11.02MiB / 3.871GiB, 0.28%, 115MB / 82.7MB, 0B / 0B
OK,8,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.125MiB / 50MiB, 8.25%, 136kB / 224kB, 0B / 0B
OK,8,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.10%, 10.45MiB / 50MiB, 20.90%, 5.64kB / 2.6kB, 2.74MB / 0B
OK,8,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 1.10%, 27.16MiB / 500MiB, 5.43%, 1.78MB / 314kB, 27.8MB / 0B
OK,8,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.13%, 5.875MiB / 125MiB, 4.70%, 447kB / 255kB, 160kB / 0B
OK,8,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.28kB / 0B, 4.1kB / 0B
OK,8,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 114.70%, 12.46MiB / 3.871GiB, 0.31%, 80.6MB / 114MB, 4.66MB / 0B
[2J[HOK,8,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 16.92%, 11.02MiB / 3.871GiB, 0.28%, 115MB / 82.7MB, 0B / 0B
OK,8,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.125MiB / 50MiB, 8.25%, 136kB / 224kB, 0B / 0B
OK,8,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.10%, 10.45MiB / 50MiB, 20.90%, 5.64kB / 2.6kB, 2.74MB / 0B
OK,8,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 1.10%, 27.16MiB / 500MiB, 5.43%, 1.78MB / 314kB, 27.8MB / 0B
OK,8,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.13%, 5.875MiB / 125MiB, 4.70%, 447kB / 255kB, 160kB / 0B
OK,8,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.28kB / 0B, 4.1kB / 0B
OK,8,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 114.70%, 12.46MiB / 3.871GiB, 0.31%, 80.6MB / 114MB, 4.66MB / 0B
[2J[HOK,8,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 17.99%, 11.02MiB / 3.871GiB, 0.28%, 115MB / 82.8MB, 0B / 0B
OK,8,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.125MiB / 50MiB, 8.25%, 136kB / 224kB, 0B / 0B
OK,8,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.07%, 10.45MiB / 50MiB, 20.90%, 5.64kB / 2.6kB, 2.74MB / 0B
OK,8,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.30%, 27.16MiB / 500MiB, 5.43%, 1.78MB / 314kB, 27.8MB / 0B
OK,8,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.12%, 5.875MiB / 125MiB, 4.70%, 447kB / 255kB, 160kB / 0B
OK,8,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.28kB / 0B, 4.1kB / 0B
OK,8,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 107.35%, 12.46MiB / 3.871GiB, 0.31%, 80.7MB / 114MB, 4.66MB / 0B
[2J[HOK,8,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 17.99%, 11.02MiB / 3.871GiB, 0.28%, 115MB / 82.8MB, 0B / 0B
OK,8,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.125MiB / 50MiB, 8.25%, 136kB / 224kB, 0B / 0B
OK,8,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.07%, 10.45MiB / 50MiB, 20.90%, 5.64kB / 2.6kB, 2.74MB / 0B
OK,8,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.30%, 27.16MiB / 500MiB, 5.43%, 1.78MB / 314kB, 27.8MB / 0B
OK,8,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.12%, 5.875MiB / 125MiB, 4.70%, 447kB / 255kB, 160kB / 0B
OK,8,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.28kB / 0B, 4.1kB / 0B
OK,8,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 107.35%, 12.46MiB / 3.871GiB, 0.31%, 80.7MB / 114MB, 4.66MB / 0B
[2J[HOK,8,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 16.06%, 11.02MiB / 3.871GiB, 0.28%, 115MB / 82.8MB, 0B / 0B
OK,8,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.04%, 4.125MiB / 50MiB, 8.25%, 136kB / 225kB, 0B / 0B
OK,8,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.11%, 10.45MiB / 50MiB, 20.90%, 5.64kB / 2.6kB, 2.74MB / 0B
OK,8,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 27.16MiB / 500MiB, 5.43%, 1.78MB / 314kB, 27.8MB / 0B
OK,8,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.10%, 5.875MiB / 125MiB, 4.70%, 448kB / 255kB, 160kB / 0B
OK,8,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.28kB / 0B, 4.1kB / 0B
OK,8,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 107.47%, 12.46MiB / 3.871GiB, 0.31%, 80.7MB / 115MB, 4.66MB / 0B
[2J[HOK,8,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 16.06%, 11.02MiB / 3.871GiB, 0.28%, 115MB / 82.8MB, 0B / 0B
OK,8,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.04%, 4.125MiB / 50MiB, 8.25%, 136kB / 225kB, 0B / 0B
OK,8,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.11%, 10.45MiB / 50MiB, 20.90%, 5.64kB / 2.6kB, 2.74MB / 0B
OK,8,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 27.16MiB / 500MiB, 5.43%, 1.78MB / 314kB, 27.8MB / 0B
OK,8,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.10%, 5.875MiB / 125MiB, 4.70%, 448kB / 255kB, 160kB / 0B
OK,8,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.28kB / 0B, 4.1kB / 0B
OK,8,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 107.47%, 12.46MiB / 3.871GiB, 0.31%, 80.7MB / 115MB, 4.66MB / 0B
[2J[HOK,8,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 16.71%, 11.02MiB / 3.871GiB, 0.28%, 115MB / 82.9MB, 0B / 0B
OK,8,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.125MiB / 50MiB, 8.25%, 136kB / 225kB, 0B / 0B
OK,8,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.08%, 10.45MiB / 50MiB, 20.90%, 5.64kB / 2.6kB, 2.74MB / 0B
OK,8,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.01%, 27.16MiB / 500MiB, 5.43%, 1.78MB / 314kB, 27.8MB / 0B
OK,8,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.08%, 5.875MiB / 125MiB, 4.70%, 448kB / 255kB, 160kB / 0B
OK,8,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.28kB / 0B, 4.1kB / 0B
OK,8,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 109.72%, 12.46MiB / 3.871GiB, 0.31%, 80.8MB / 115MB, 4.66MB / 0B
[2J[HOK,8,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 16.71%, 11.02MiB / 3.871GiB, 0.28%, 115MB / 82.9MB, 0B / 0B
OK,8,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.125MiB / 50MiB, 8.25%, 136kB / 225kB, 0B / 0B
OK,8,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.08%, 10.45MiB / 50MiB, 20.90%, 5.64kB / 2.6kB, 2.74MB / 0B
OK,8,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.01%, 27.16MiB / 500MiB, 5.43%, 1.78MB / 314kB, 27.8MB / 0B
OK,8,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.08%, 5.875MiB / 125MiB, 4.70%, 448kB / 255kB, 160kB / 0B
OK,8,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.28kB / 0B, 4.1kB / 0B
OK,8,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 109.72%, 12.46MiB / 3.871GiB, 0.31%, 80.8MB / 115MB, 4.66MB / 0B
[2J[HOK,8,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 15.73%, 11.02MiB / 3.871GiB, 0.28%, 115MB / 82.9MB, 0B / 0B
OK,8,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.125MiB / 50MiB, 8.25%, 136kB / 225kB, 0B / 0B
OK,8,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.09%, 10.45MiB / 50MiB, 20.90%, 5.64kB / 2.6kB, 2.74MB / 0B
OK,8,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.01%, 27.16MiB / 500MiB, 5.43%, 1.78MB / 314kB, 27.8MB / 0B
OK,8,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.08%, 5.875MiB / 125MiB, 4.70%, 448kB / 255kB, 160kB / 0B
OK,8,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.28kB / 0B, 4.1kB / 0B
OK,8,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 109.53%, 12.46MiB / 3.871GiB, 0.31%, 80.8MB / 115MB, 4.66MB / 0B
[2J[HOK,8,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 15.73%, 11.02MiB / 3.871GiB, 0.28%, 115MB / 82.9MB, 0B / 0B
OK,8,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.125MiB / 50MiB, 8.25%, 136kB / 225kB, 0B / 0B
OK,8,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.09%, 10.45MiB / 50MiB, 20.90%, 5.64kB / 2.6kB, 2.74MB / 0B
OK,8,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 27.16MiB / 500MiB, 5.43%, 1.78MB / 314kB, 27.8MB / 0B
OK,8,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.08%, 5.875MiB / 125MiB, 4.70%, 448kB / 255kB, 160kB / 0B
OK,8,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.28kB / 0B, 4.1kB / 0B
OK,8,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 109.53%, 12.46MiB / 3.871GiB, 0.31%, 80.8MB / 115MB, 4.66MB / 0B
[2J[HOK,8,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 15.73%, 11.02MiB / 3.871GiB, 0.28%, 115MB / 82.9MB, 0B / 0B
OK,8,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.125MiB / 50MiB, 8.25%, 136kB / 225kB, 0B / 0B
OK,8,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.09%, 10.45MiB / 50MiB, 20.90%, 5.64kB / 2.6kB, 2.74MB / 0B
OK,8,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 27.16MiB / 500MiB, 5.43%, 1.78MB / 314kB, 27.8MB / 0B
OK,8,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.08%, 5.875MiB / 125MiB, 4.70%, 448kB / 255kB, 160kB / 0B
OK,8,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.28kB / 0B, 4.1kB / 0B
OK,8,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 109.53%, 12.46MiB / 3.871GiB, 0.31%, 80.8MB / 115MB, 4.66MB / 0B
[2J[HOK,8,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 18.34%, 11.02MiB / 3.871GiB, 0.28%, 115MB / 83MB, 0B / 0B
OK,8,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.125MiB / 50MiB, 8.25%, 136kB / 225kB, 0B / 0B
OK,8,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.09%, 10.45MiB / 50MiB, 20.90%, 5.64kB / 2.6kB, 2.74MB / 0B
OK,8,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 1.29%, 27.17MiB / 500MiB, 5.43%, 1.78MB / 314kB, 27.8MB / 0B
OK,8,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.12%, 5.875MiB / 125MiB, 4.70%, 448kB / 255kB, 160kB / 0B
OK,8,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.28kB / 0B, 4.1kB / 0B
OK,8,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 113.60%, 12.46MiB / 3.871GiB, 0.31%, 80.9MB / 115MB, 4.66MB / 0B
[2J[HOK,8,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 18.34%, 11.02MiB / 3.871GiB, 0.28%, 115MB / 83MB, 0B / 0B
OK,8,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.125MiB / 50MiB, 8.25%, 136kB / 225kB, 0B / 0B
OK,8,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.09%, 10.45MiB / 50MiB, 20.90%, 5.64kB / 2.6kB, 2.74MB / 0B
OK,8,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 1.29%, 27.17MiB / 500MiB, 5.43%, 1.78MB / 314kB, 27.8MB / 0B
OK,8,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.12%, 5.875MiB / 125MiB, 4.70%, 448kB / 255kB, 160kB / 0B
OK,8,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.28kB / 0B, 4.1kB / 0B
OK,8,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 113.60%, 12.46MiB / 3.871GiB, 0.31%, 80.9MB / 115MB, 4.66MB / 0B
[2J[HOK,8,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 17.24%, 11.02MiB / 3.871GiB, 0.28%, 115MB / 83.1MB, 0B / 0B
OK,8,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.125MiB / 50MiB, 8.25%, 136kB / 225kB, 0B / 0B
OK,8,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.12%, 10.45MiB / 50MiB, 20.90%, 5.64kB / 2.6kB, 2.74MB / 0B
OK,8,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.32%, 27.17MiB / 500MiB, 5.43%, 1.78MB / 315kB, 27.8MB / 0B
OK,8,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.09%, 5.875MiB / 125MiB, 4.70%, 448kB / 255kB, 160kB / 0B
OK,8,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.28kB / 0B, 4.1kB / 0B
OK,8,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 108.41%, 12.46MiB / 3.871GiB, 0.31%, 81MB / 115MB, 4.66MB / 0B
[2J[HOK,8,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 17.24%, 11.02MiB / 3.871GiB, 0.28%, 115MB / 83.1MB, 0B / 0B
OK,8,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.125MiB / 50MiB, 8.25%, 136kB / 225kB, 0B / 0B
OK,8,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.12%, 10.45MiB / 50MiB, 20.90%, 5.64kB / 2.6kB, 2.74MB / 0B
OK,8,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.32%, 27.17MiB / 500MiB, 5.43%, 1.78MB / 315kB, 27.8MB / 0B
OK,8,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.09%, 5.875MiB / 125MiB, 4.70%, 448kB / 255kB, 160kB / 0B
OK,8,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.28kB / 0B, 4.1kB / 0B
OK,8,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 108.41%, 12.46MiB / 3.871GiB, 0.31%, 81MB / 115MB, 4.66MB / 0B
[2J[HOK,8,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 18.24%, 11.02MiB / 3.871GiB, 0.28%, 116MB / 83.1MB, 0B / 0B
OK,8,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.03%, 4.125MiB / 50MiB, 8.25%, 136kB / 225kB, 0B / 0B
OK,8,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.10%, 10.45MiB / 50MiB, 20.90%, 5.64kB / 2.6kB, 2.74MB / 0B
OK,8,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 27.17MiB / 500MiB, 5.43%, 1.78MB / 315kB, 27.8MB / 0B
OK,8,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.11%, 5.875MiB / 125MiB, 4.70%, 448kB / 255kB, 160kB / 0B
OK,8,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.28kB / 0B, 4.1kB / 0B
OK,8,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 113.26%, 12.46MiB / 3.871GiB, 0.31%, 81MB / 115MB, 4.66MB / 0B
[2J[HOK,8,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 18.24%, 11.02MiB / 3.871GiB, 0.28%, 116MB / 83.1MB, 0B / 0B
OK,8,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.03%, 4.125MiB / 50MiB, 8.25%, 136kB / 225kB, 0B / 0B
OK,8,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.10%, 10.45MiB / 50MiB, 20.90%, 5.64kB / 2.6kB, 2.74MB / 0B
OK,8,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 27.17MiB / 500MiB, 5.43%, 1.78MB / 315kB, 27.8MB / 0B
OK,8,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.11%, 5.875MiB / 125MiB, 4.70%, 448kB / 255kB, 160kB / 0B
OK,8,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.28kB / 0B, 4.1kB / 0B
