[2J[HOK,1,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 0.01%, 10MiB / 3.871GiB, 0.25%, 37.9MB / 27.9MB, 0B / 0B
OK,1,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 22.15%, 11.02MiB / 3.871GiB, 0.28%, 31.6MB / 44.5MB, 4.66MB / 0B
[2J[HOK,1,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.75%, 10.03MiB / 3.871GiB, 0.25%, 44.7MB / 32.4MB, 0B / 0B
OK,1,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2.031MiB / 50MiB, 4.06%, 52.8kB / 83.6kB, 0B / 0B
OK,1,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.15%, 10.02MiB / 50MiB, 20.05%, 5.58kB / 2.6kB, 2.74MB / 0B
OK,1,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 25.44MiB / 500MiB, 5.09%, 656kB / 117kB, 27.8MB / 0B
OK,1,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.54%, 5.848MiB / 125MiB, 4.68%, 168kB / 95.6kB, 160kB / 0B
OK,1,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.21kB / 0B, 4.1kB / 0B
OK,1,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 22.15%, 11.02MiB / 3.871GiB, 0.28%, 31.6MB / 44.5MB, 4.66MB / 0B
[2J[HOK,1,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 9.21%, 10.03MiB / 3.871GiB, 0.25%, 44.8MB / 32.4MB, 0B / 0B
OK,1,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2.031MiB / 50MiB, 4.06%, 52.8kB / 83.6kB, 0B / 0B
OK,1,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.16%, 10.02MiB / 50MiB, 20.05%, 5.58kB / 2.6kB, 2.74MB / 0B
OK,1,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 1.25%, 25.44MiB / 500MiB, 5.09%, 656kB / 117kB, 27.8MB / 0B
OK,1,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.43%, 5.848MiB / 125MiB, 4.68%, 168kB / 95.7kB, 160kB / 0B
OK,1,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.21kB / 0B, 4.1kB / 0B
OK,1,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 22.15%, 11.02MiB / 3.871GiB, 0.28%, 31.6MB / 44.5MB, 4.66MB / 0B
[2J[HOK,1,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 9.21%, 10.03MiB / 3.871GiB, 0.25%, 44.8MB / 32.4MB, 0B / 0B
OK,1,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2.031MiB / 50MiB, 4.06%, 52.8kB / 83.6kB, 0B / 0B
OK,1,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.16%, 10.02MiB / 50MiB, 20.05%, 5.58kB / 2.6kB, 2.74MB / 0B
OK,1,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 1.25%, 25.44MiB / 500MiB, 5.09%, 656kB / 117kB, 27.8MB / 0B
OK,1,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.43%, 5.848MiB / 125MiB, 4.68%, 168kB / 95.7kB, 160kB / 0B
OK,1,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.21kB / 0B, 4.1kB / 0B
OK,1,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 23.76%, 11.02MiB / 3.871GiB, 0.28%, 31.6MB / 44.5MB, 4.66MB / 0B
[2J[HOK,1,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 9.21%, 10.03MiB / 3.871GiB, 0.25%, 44.8MB / 32.4MB, 0B / 0B
OK,1,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2.031MiB / 50MiB, 4.06%, 52.8kB / 83.6kB, 0B / 0B
OK,1,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.16%, 10.02MiB / 50MiB, 20.05%, 5.58kB / 2.6kB, 2.74MB / 0B
OK,1,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 1.25%, 25.44MiB / 500MiB, 5.09%, 656kB / 117kB, 27.8MB / 0B
OK,1,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.43%, 5.848MiB / 125MiB, 4.68%, 168kB / 95.7kB, 160kB / 0B
OK,1,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.21kB / 0B, 4.1kB / 0B
OK,1,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 23.76%, 11.02MiB / 3.871GiB, 0.28%, 31.6MB / 44.5MB, 4.66MB / 0B
[2J[HOK,1,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 11.91%, 10.03MiB / 3.871GiB, 0.25%, 44.8MB / 32.4MB, 0B / 0B
OK,1,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2.031MiB / 50MiB, 4.06%, 52.8kB / 83.6kB, 0B / 0B
OK,1,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.25%, 10.02MiB / 50MiB, 20.05%, 5.58kB / 2.6kB, 2.74MB / 0B
OK,1,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.30%, 25.44MiB / 500MiB, 5.09%, 656kB / 117kB, 27.8MB / 0B
OK,1,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.15%, 5.848MiB / 125MiB, 4.68%, 168kB / 95.7kB, 160kB / 0B
OK,1,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.21kB / 0B, 4.1kB / 0B
OK,1,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 22.38%, 11.02MiB / 3.871GiB, 0.28%, 31.6MB / 44.6MB, 4.66MB / 0B
[2J[HOK,1,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 11.91%, 10.03MiB / 3.871GiB, 0.25%, 44.8MB / 32.4MB, 0B / 0B
OK,1,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2.031MiB / 50MiB, 4.06%, 52.8kB / 83.6kB, 0B / 0B
OK,1,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.25%, 10.02MiB / 50MiB, 20.05%, 5.58kB / 2.6kB, 2.74MB / 0B
OK,1,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.30%, 25.44MiB / 500MiB, 5.09%, 656kB / 117kB, 27.8MB / 0B
OK,1,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.15%, 5.848MiB / 125MiB, 4.68%, 168kB / 95.7kB, 160kB / 0B
OK,1,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.21kB / 0B, 4.1kB / 0B
OK,1,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 22.38%, 11.02MiB / 3.871GiB, 0.28%, 31.6MB / 44.6MB, 4.66MB / 0B
[2J[HOK,1,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 9.63%, 10.03MiB / 3.871GiB, 0.25%, 44.8MB / 32.4MB, 0B / 0B
OK,1,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.17%, 2.031MiB / 50MiB, 4.06%, 53.1kB / 84kB, 0B / 0B
OK,1,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.21%, 10.02MiB / 50MiB, 20.05%, 5.58kB / 2.6kB, 2.74MB / 0B
OK,1,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.19%, 25.44MiB / 500MiB, 5.09%, 658kB / 118kB, 27.8MB / 0B
OK,1,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.63%, 5.848MiB / 125MiB, 4.68%, 169kB / 96kB, 160kB / 0B
OK,1,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.21kB / 0B, 4.1kB / 0B
OK,1,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 20.84%, 11.02MiB / 3.871GiB, 0.28%, 31.6MB / 44.6MB, 4.66MB / 0B
[2J[HOK,1,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 9.63%, 10.03MiB / 3.871GiB, 0.25%, 44.8MB / 32.4MB, 0B / 0B
OK,1,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.17%, 2.031MiB / 50MiB, 4.06%, 53.1kB / 84kB, 0B / 0B
OK,1,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.21%, 10.02MiB / 50MiB, 20.05%, 5.58kB / 2.6kB, 2.74MB / 0B
OK,1,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.19%, 25.44MiB / 500MiB, 5.09%, 658kB / 118kB, 27.8MB / 0B
OK,1,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.63%, 5.848MiB / 125MiB, 4.68%, 169kB / 96kB, 160kB / 0B
OK,1,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.21kB / 0B, 4.1kB / 0B
OK,1,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 20.84%, 11.02MiB / 3.871GiB, 0.28%, 31.6MB / 44.6MB, 4.66MB / 0B
[2J[HOK,1,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 9.26%, 10.03MiB / 3.871GiB, 0.25%, 44.8MB / 32.4MB, 0B / 0B
OK,1,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2.031MiB / 50MiB, 4.06%, 53.1kB / 84kB, 0B / 0B
OK,1,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.15%, 10.02MiB / 50MiB, 20.05%, 5.58kB / 2.6kB, 2.74MB / 0B
OK,1,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.05%, 25.44MiB / 500MiB, 5.09%, 658kB / 118kB, 27.8MB / 0B
OK,1,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.19%, 5.848MiB / 125MiB, 4.68%, 169kB / 96kB, 160kB / 0B
OK,1,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.21kB / 0B, 4.1kB / 0B
OK,1,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 23.20%, 11.02MiB / 3.871GiB, 0.28%, 31.7MB / 44.6MB, 4.66MB / 0B
[2J[HOK,1,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 9.26%, 10.03MiB / 3.871GiB, 0.25%, 44.8MB / 32.4MB, 0B / 0B
OK,1,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2.031MiB / 50MiB, 4.06%, 53.1kB / 84kB, 0B / 0B
OK,1,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.15%, 10.02MiB / 50MiB, 20.05%, 5.58kB / 2.6kB, 2.74MB / 0B
OK,1,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.05%, 25.44MiB / 500MiB, 5.09%, 658kB / 118kB, 27.8MB / 0B
OK,1,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.19%, 5.848MiB / 125MiB, 4.68%, 169kB / 96kB, 160kB / 0B
OK,1,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.21kB / 0B, 4.1kB / 0B
OK,1,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 23.20%, 11.02MiB / 3.871GiB, 0.28%, 31.7MB / 44.6MB, 4.66MB / 0B
[2J[HOK,1,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.62%, 10.03MiB / 3.871GiB, 0.25%, 44.8MB / 32.4MB, 0B / 0B
OK,1,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2.031MiB / 50MiB, 4.06%, 53.1kB / 84kB, 0B / 0B
OK,1,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.23%, 10.02MiB / 50MiB, 20.05%, 5.58kB / 2.6kB, 2.74MB / 0B
OK,1,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 25.44MiB / 500MiB, 5.09%, 658kB / 118kB, 27.8MB / 0B
OK,1,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.31%, 5.848MiB / 125MiB, 4.68%, 169kB / 96kB, 160kB / 0B
OK,1,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.21kB / 0B, 4.1kB / 0B
OK,1,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 21.79%, 11.02MiB / 3.871GiB, 0.28%, 31.7MB / 44.6MB, 4.66MB / 0B
[2J[HOK,1,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.62%, 10.03MiB / 3.871GiB, 0.25%, 44.8MB / 32.4MB, 0B / 0B
OK,1,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2.031MiB / 50MiB, 4.06%, 53.1kB / 84kB, 0B / 0B
OK,1,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.23%, 10.02MiB / 50MiB, 20.05%, 5.58kB / 2.6kB, 2.74MB / 0B
OK,1,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 25.44MiB / 500MiB, 5.09%, 658kB / 118kB, 27.8MB / 0B
OK,1,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.31%, 5.848MiB / 125MiB, 4.68%, 169kB / 96kB, 160kB / 0B
OK,1,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.21kB / 0B, 4.1kB / 0B
OK,1,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 21.79%, 11.02MiB / 3.871GiB, 0.28%, 31.7MB / 44.6MB, 4.66MB / 0B
[2J[HOK,1,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 11.99%, 10.03MiB / 3.871GiB, 0.25%, 44.8MB / 32.4MB, 0B / 0B
OK,1,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2.031MiB / 50MiB, 4.06%, 53.1kB / 84kB, 0B / 0B
OK,1,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.14%, 10.02MiB / 50MiB, 20.05%, 5.58kB / 2.6kB, 2.74MB / 0B
OK,1,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 1.31%, 25.44MiB / 500MiB, 5.09%, 658kB / 118kB, 27.8MB / 0B
OK,1,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.42%, 5.848MiB / 125MiB, 4.68%, 169kB / 96.4kB, 160kB / 0B
OK,1,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.21kB / 0B, 4.1kB / 0B
OK,1,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 23.52%, 11.02MiB / 3.871GiB, 0.28%, 31.7MB / 44.6MB, 4.66MB / 0B
[2J[HOK,1,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 11.99%, 10.03MiB / 3.871GiB, 0.25%, 44.8MB / 32.4MB, 0B / 0B
OK,1,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2.031MiB / 50MiB, 4.06%, 53.1kB / 84kB, 0B / 0B
OK,1,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.14%, 10.02MiB / 50MiB, 20.05%, 5.58kB / 2.6kB, 2.74MB / 0B
OK,1,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 1.31%, 25.44MiB / 500MiB, 5.09%, 658kB / 118kB, 27.8MB / 0B
OK,1,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.42%, 5.848MiB / 125MiB, 4.68%, 169kB / 96.4kB, 160kB / 0B
OK,1,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.21kB / 0B, 4.1kB / 0B
OK,1,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 23.52%, 11.02MiB / 3.871GiB, 0.28%, 31.7MB / 44.6MB, 4.66MB / 0B
[2J[HOK,1,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 9.55%, 10.03MiB / 3.871GiB, 0.25%, 44.8MB / 32.5MB, 0B / 0B
OK,1,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2.031MiB / 50MiB, 4.06%, 53.1kB / 84kB, 0B / 0B
OK,1,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.17%, 10.02MiB / 50MiB, 20.05%, 5.58kB / 2.6kB, 2.74MB / 0B
OK,1,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.94%, 25.44MiB / 500MiB, 5.09%, 660kB / 118kB, 27.8MB / 0B
OK,1,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.16%, 5.848MiB / 125MiB, 4.68%, 169kB / 96.4kB, 160kB / 0B
OK,1,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.21kB / 0B, 4.1kB / 0B
OK,1,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 22.18%, 11.02MiB / 3.871GiB, 0.28%, 31.7MB / 44.6MB, 4.66MB / 0B
[2J[HOK,1,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 9.55%, 10.03MiB / 3.871GiB, 0.25%, 44.8MB / 32.5MB, 0B / 0B
OK,1,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2.031MiB / 50MiB, 4.06%, 53.1kB / 84kB, 0B / 0B
OK,1,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.17%, 10.02MiB / 50MiB, 20.05%, 5.58kB / 2.6kB, 2.74MB / 0B
OK,1,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.94%, 25.44MiB / 500MiB, 5.09%, 660kB / 118kB, 27.8MB / 0B
OK,1,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.16%, 5.848MiB / 125MiB, 4.68%, 169kB / 96.4kB, 160kB / 0B
OK,1,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.21kB / 0B, 4.1kB / 0B
OK,1,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 22.18%, 11.02MiB / 3.871GiB, 0.28%, 31.7MB / 44.6MB, 4.66MB / 0B
[2J[HOK,1,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.91%, 10.03MiB / 3.871GiB, 0.25%, 44.9MB / 32.5MB, 0B / 0B
OK,1,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.07%, 2.031MiB / 50MiB, 4.06%, 53.3kB / 84.2kB, 0B / 0B
OK,1,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.15%, 10.02MiB / 50MiB, 20.05%, 5.58kB / 2.6kB, 2.74MB / 0B
OK,1,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 25.44MiB / 500MiB, 5.09%, 660kB / 118kB, 27.8MB / 0B
OK,1,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.36%, 5.848MiB / 125MiB, 4.68%, 169kB / 96.5kB, 160kB / 0B
OK,1,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.21kB / 0B, 4.1kB / 0B
OK,1,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 21.97%, 11.02MiB / 3.871GiB, 0.28%, 31.7MB / 44.6MB, 4.66MB / 0B
[2J[HOK,1,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.91%, 10.03MiB / 3.871GiB, 0.25%, 44.9MB / 32.5MB, 0B / 0B
OK,1,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.07%, 2.031MiB / 50MiB, 4.06%, 53.3kB / 84.2kB, 0B / 0B
OK,1,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.15%, 10.02MiB / 50MiB, 20.05%, 5.58kB / 2.6kB, 2.74MB / 0B
OK,1,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 25.44MiB / 500MiB, 5.09%, 660kB / 118kB, 27.8MB / 0B
OK,1,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.36%, 5.848MiB / 125MiB, 4.68%, 169kB / 96.5kB, 160kB / 0B
OK,1,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.21kB / 0B, 4.1kB / 0B
OK,1,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 21.97%, 11.02MiB / 3.871GiB, 0.28%, 31.7MB / 44.6MB, 4.66MB / 0B
[2J[HOK,1,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 9.34%, 10.03MiB / 3.871GiB, 0.25%, 44.9MB / 32.5MB, 0B / 0B
OK,1,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2.031MiB / 50MiB, 4.06%, 53.3kB / 84.2kB, 0B / 0B
OK,1,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.28%, 10.02MiB / 50MiB, 20.05%, 5.58kB / 2.6kB, 2.74MB / 0B
OK,1,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.02%, 25.44MiB / 500MiB, 5.09%, 660kB / 118kB, 27.8MB / 0B
OK,1,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.31%, 5.848MiB / 125MiB, 4.68%, 169kB / 96.5kB, 160kB / 0B
OK,1,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.21kB / 0B, 4.1kB / 0B
OK,1,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 21.41%, 11.02MiB / 3.871GiB, 0.28%, 31.7MB / 44.6MB, 4.66MB / 0B
[2J[HOK,1,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 9.34%, 10.03MiB / 3.871GiB, 0.25%, 44.9MB / 32.5MB, 0B / 0B
OK,1,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2.031MiB / 50MiB, 4.06%, 53.3kB / 84.2kB, 0B / 0B
OK,1,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.28%, 10.02MiB / 50MiB, 20.05%, 5.58kB / 2.6kB, 2.74MB / 0B
OK,1,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.02%, 25.44MiB / 500MiB, 5.09%, 660kB / 118kB, 27.8MB / 0B
OK,1,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.31%, 5.848MiB / 125MiB, 4.68%, 169kB / 96.5kB, 160kB / 0B
OK,1,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.21kB / 0B, 4.1kB / 0B
OK,1,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 21.41%, 11.02MiB / 3.871GiB, 0.28%, 31.7MB / 44.6MB, 4.66MB / 0B
[2J[HOK,1,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 11.19%, 10.03MiB / 3.871GiB, 0.25%, 44.9MB / 32.5MB, 0B / 0B
OK,1,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2.031MiB / 50MiB, 4.06%, 53.3kB / 84.2kB, 0B / 0B
